category	variableName	concept_code
LIVER INVOLVEMENT	hepatitis or liver dysfunction	K76.2
LIVER INVOLVEMENT	hepatitis or liver dysfunction	K76.89
LIVER INVOLVEMENT	hepatic failure	K72.00
LIVER INVOLVEMENT	hepatic failure	K72.90
COVID-19	covid19 exposure	Z20.822
COVID-19	covid19 infection	U07.1
COVID-19	covid19 history of	Z86.16
unvaccinated	unvaccinated	Z28.310
partially vaccinated	partially vaccinated	Z28.311
Kawasaki	kawasaki	M30.3
